Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS
Date,,,,,,,,,,,,,,,
2012-09-26,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,1600,
2012-09-27,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,0,
2012-09-28,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,0,
2012-10-01,,4.312833786010742,,,4.349212014319246,,,4.312833786010742,,,4.349212014319246,,,13600,
2012-10-02,,4.324957370758057,,,4.324957370758057,,,4.324957370758057,,,4.324957370758057,,,1400,
2012-10-03,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,4.3492112159729,,,200,
2012-10-04,,4.341126918792725,,,4.349211139224418,,,4.324958863406185,,,4.329000973622032,,,7600,
2012-10-05,,4.3492112159729,,,4.361337161357574,,,4.3492112159729,,,4.357295051070398,,,18400,
2012-10-08,,4.361336708068848,,,4.361336708068848,,,4.357294598201782,,,4.357294598201782,,,4600,
2012-10-09,,4.345169544219971,,,4.345169544219971,,,4.345169544219971,,,4.345169544219971,,,1800,
2012-10-10,,4.345169544219971,,,4.349211654915095,,,4.345169544219971,,,4.345169544219971,,,7800,
2012-10-11,,4.345169544219971,,,4.361337601523574,,,4.345169544219971,,,4.361337601523574,,,2400,
2012-10-12,,4.353251934051514,,,4.353251934051514,,,4.345167716062567,,,4.353251934051514,,,9600,
2012-10-15,,4.385587215423584,,,4.385587215423584,,,4.345166903986534,,,4.345166903986534,,,25200,
2012-10-16,,4.385587215423584,,,4.385587215423584,,,4.357292843226986,,,4.365377059705059,,,22200,
2012-10-17,,4.42196798324585,,,4.42196798324585,,,4.381548030319424,,,4.381548030319424,,,21600,
2012-10-18,,4.42196798324585,,,4.42196798324585,,,4.42196798324585,,,4.42196798324585,,,0,
2012-10-19,,4.42196798324585,,,4.42196798324585,,,4.42196798324585,,,4.42196798324585,,,0,
2012-10-22,,4.405797481536865,,,4.405797481536865,,,4.405797481536865,,,4.405797481536865,,,600,
2012-10-23,,4.365379810333252,,,4.365379810333252,,,4.365379810333252,,,4.365379810333252,,,1600,
2012-10-24,,4.417924404144287,,,4.417924404144287,,,4.405798076425017,,,4.405798076425017,,,2000,
2012-10-25,,4.502808570861816,,,4.502808570861816,,,4.40579983771071,,,4.42196789565641,,,39200,
2012-10-26,,4.446218490600586,,,4.466428651744123,,,4.385588392646738,,,4.466428651744123,,,7600,
2012-10-31,,4.708950042724609,,,4.749370370279414,,,4.486639397603618,,,4.486639397603618,,,130400,
