Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BLIN,BLMN,BLIN,BLMN,BLIN,BLMN,BLIN,BLMN,BLIN,BLMN
Date,,,,,,,,,,
2008-10-24,1250.0,,1375.0,,1250.0,,1375.0,,4,
2008-10-27,1137.5,,1425.0,,1137.5,,1425.0,,4,
2008-10-28,1437.5,,1462.5,,1312.5,,1312.5,,5,
2008-10-29,1250.0,,1337.5,,1150.0,,1337.5,,10,
2008-10-30,1187.5,,1200.0,,1187.5,,1200.0,,4,
2008-10-31,1200.0,,1250.0,,1162.5,,1200.0,,1,
2008-11-03,1200.0,,1212.5,,1200.0,,1212.5,,1,
2008-11-04,1250.0,,1250.0,,1250.0,,1250.0,,1,
2008-11-05,1462.5,,1487.5,,1375.0,,1487.5,,7,
2008-11-06,1437.5,,1550.0,,1437.5,,1550.0,,1,
2008-11-07,1450.0,,1475.0,,1375.0,,1475.0,,2,
2008-11-10,1412.5,,1412.5,,1412.5,,1412.5,,0,
2008-11-11,1375.0,,1375.0,,1325.0,,1337.5,,2,
2008-11-12,1300.0,,1350.0,,1250.0,,1350.0,,1,
2008-11-13,1300.0,,1312.5,,1250.0,,1250.0,,109,
2008-11-14,1225.0,,1225.0,,862.5,,1125.0,,2,
2008-11-17,1012.5,,1212.5,,875.0,,1212.5,,6,
2008-11-18,1012.5,,1575.0,,837.5,,900.0,,5,
2008-11-19,1137.5,,1350.0,,900.0,,1350.0,,1,
2008-11-20,875.0,,1100.0,,837.5,,1100.0,,1,
2008-11-21,1062.5,,1062.5,,837.5,,837.5,,6,
2008-11-24,937.5,,937.5,,937.5,,937.5,,1,
2008-11-25,950.0,,950.0,,950.0,,950.0,,10,
2008-11-26,887.5,,900.0,,887.5,,900.0,,3,
2008-11-28,887.5,,887.5,,887.5,,887.5,,0,
2008-12-01,1050.0,,1062.5,,1037.5,,1062.5,,1,
2008-12-02,925.0,,925.0,,912.5,,912.5,,1,
2008-12-03,950.0,,950.0,,887.5,,887.5,,5,
2008-12-04,950.0,,950.0,,950.0,,950.0,,0,
2008-12-05,950.0,,950.0,,950.0,,950.0,,0,
2008-12-08,1037.5,,1037.5,,875.0,,912.5,,3,
2008-12-09,900.0,,900.0,,900.0,,900.0,,0,
2008-12-10,950.0,,950.0,,950.0,,950.0,,0,
2008-12-11,875.0,,875.0,,875.0,,875.0,,1,
2008-12-12,837.5,,937.5,,750.0,,937.5,,26,
2008-12-15,937.5,,1062.5,,875.0,,1062.5,,112,
2008-12-16,925.0,,1062.5,,737.5,,1062.5,,2,
2008-12-17,862.5,,875.0,,762.5,,875.0,,4,
2008-12-18,875.0,,875.0,,875.0,,875.0,,2,
2008-12-19,762.5,,875.0,,762.5,,875.0,,3,
2008-12-22,812.5,,812.5,,762.5,,787.5,,3,
2008-12-23,762.5,,787.5,,762.5,,787.5,,1,
2008-12-24,762.5,,787.5,,762.5,,787.5,,0,
2008-12-26,762.5,,762.5,,762.5,,762.5,,0,
2008-12-29,812.5,,812.5,,762.5,,812.5,,9,
2008-12-30,775.0,,812.5,,762.5,,812.5,,11,
2008-12-31,700.0,,700.0,,625.0,,687.5,,1,
2009-01-02,875.0,,875.0,,712.5,,712.5,,18,
2009-01-05,1000.0,,1900.0,,887.5,,887.5,,28,
2009-01-06,1150.0,,1150.0,,1100.0,,1100.0,,0,
2009-01-07,1075.0,,1250.0,,1075.0,,1250.0,,2,
2009-01-08,1250.0,,1250.0,,1075.0,,1075.0,,3,
2009-01-09,1137.5,,1137.5,,1137.5,,1137.5,,0,
2009-01-12,1137.5,,1137.5,,1137.5,,1137.5,,0,
2009-01-13,1012.5,,1125.0,,1000.0,,1125.0,,4,
2009-01-14,937.5,,937.5,,900.0,,912.5,,33,
2009-01-15,937.5,,937.5,,875.0,,937.5,,5,
2009-01-16,937.5,,937.5,,937.5,,937.5,,0,
2009-01-20,737.5,,937.5,,737.5,,937.5,,8,
2009-01-21,750.0,,800.0,,750.0,,750.0,,2,
2009-01-22,750.0,,750.0,,750.0,,750.0,,0,
2009-01-23,750.0,,750.0,,750.0,,750.0,,0,
2009-01-26,750.0,,750.0,,750.0,,750.0,,0,
2009-01-27,750.0,,750.0,,750.0,,750.0,,0,
2009-01-28,750.0,,750.0,,725.0,,750.0,,5,
2009-01-29,750.0,,750.0,,750.0,,750.0,,0,
2009-01-30,725.0,,775.0,,725.0,,750.0,,2,
2009-02-02,725.0,,725.0,,725.0,,725.0,,0,
2009-02-03,725.0,,725.0,,725.0,,725.0,,1,
2009-02-04,712.5,,737.5,,450.0,,500.0,,21,
2009-02-05,625.0,,625.0,,612.5,,612.5,,7,
2009-02-06,725.0,,750.0,,725.0,,737.5,,5,
2009-02-09,725.0,,725.0,,725.0,,725.0,,11,
